"x"	"name"	"relation"	"relation_name"	"value"
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.gdp_nominal_per_capita"	"GDP (nominal per capita)"	126.51
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.gni_per_capita_in_ppp_dollars"	"GNI per capita in PPP dollars"	580
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.gdp_nominal_per_capita"	"GDP (nominal per capita)"	70.11
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.official_development_assistance"	"Official development assistance"	264000000
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.gdp_real"	"GDP real"	922031253
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.external_debt_stock"	"External debt stock"	136188000
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.gni_per_capita_in_ppp_dollars"	"GNI per capita in PPP dollars"	580
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.gni_in_ppp_dollars"	"GNI in PPP dollars"	1522937110
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.gni_in_ppp_dollars"	"GNI in PPP dollars"	2547732307
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.gni_in_ppp_dollars"	"GNI in PPP dollars"	3860248296
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.external_debt_stock"	"External debt stock"	1130902000
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.gdp_nominal"	"GDP (nominal)"	1083037671
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.external_debt_stock"	"External debt stock"	227433000
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.gdp_nominal"	"GDP (nominal)"	345263492
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.official_development_assistance"	"Official development assistance"	416110000
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.official_development_assistance"	"Official development assistance"	558350000
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.gdp_nominal"	"GDP (nominal)"	938632612
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.gdp_nominal_per_capita"	"GDP (nominal per capita)"	202.1
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.gdp_real"	"GDP real"	974675839
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.gni_per_capita_in_ppp_dollars"	"GNI per capita in PPP dollars"	480
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.gni_in_ppp_dollars"	"GNI in PPP dollars"	2563753764
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.official_development_assistance"	"Official development assistance"	73000000
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.gni_per_capita_in_ppp_dollars"	"GNI per capita in PPP dollars"	410
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.gdp_real"	"GDP real"	930329534
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.external_debt_stock"	"External debt stock"	165720000
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.gni_in_ppp_dollars"	"GNI in PPP dollars"	2731045249
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.official_development_assistance"	"Official development assistance"	77040000
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.gni_in_ppp_dollars"	"GNI in PPP dollars"	2898830673
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.gni_in_ppp_dollars"	"GNI in PPP dollars"	2415368178
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.gni_per_capita_in_ppp_dollars"	"GNI per capita in PPP dollars"	460
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.official_development_assistance"	"Official development assistance"	150520000
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.gdp_real"	"GDP real"	1019207023
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.official_development_assistance"	"Official development assistance"	388530000
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.gni_per_capita_in_ppp_dollars"	"GNI per capita in PPP dollars"	480
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.gdp_nominal"	"GDP (nominal)"	1149979286
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.external_debt_stock"	"External debt stock"	455098000
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.gni_in_ppp_dollars"	"GNI in PPP dollars"	2733085487
"http://rdf.freebase.com/ns/en.burundi"	"Burundi"	"http://rdf.freebase.com/ns/location.statistical_region.gdp_nominal_per_capita"	"GDP (nominal per capita)"	117.19
"http://rdf.freebase.com/ns/en.kenyon_college"	"Kenyon College"	"http://rdf.freebase.com/ns/education.university.domestic_tuition"	"Domestic tuition"	42630
"http://rdf.freebase.com/ns/en.kenyon_college"	"Kenyon College"	"http://rdf.freebase.com/ns/business.business_operation.operating_income"	"Operating Income"	198243100
"http://rdf.freebase.com/ns/en.kenyon_college"	"Kenyon College"	"http://rdf.freebase.com/ns/education.university.domestic_tuition"	"Domestic tuition"	40900
"http://rdf.freebase.com/ns/en.kenyon_college"	"Kenyon College"	"http://rdf.freebase.com/ns/education.university.domestic_tuition"	"Domestic tuition"	40980
"http://rdf.freebase.com/ns/en.kenyon_college"	"Kenyon College"	"http://rdf.freebase.com/ns/education.university.domestic_tuition"	"Domestic tuition"	40240
"http://rdf.freebase.com/ns/en.kenyon_college"	"Kenyon College"	"http://rdf.freebase.com/ns/education.university.local_tuition"	"Local tuition"	39420
"http://rdf.freebase.com/ns/en.fanboys_2007"	"Fanboys"	"http://rdf.freebase.com/ns/film.film.estimated_budget"	"Estimated budget"	8000000
"http://rdf.freebase.com/ns/en.kenyon_college"	"Kenyon College"	"http://rdf.freebase.com/ns/business.business_operation.assets"	"Total Assets"	639158214
"http://rdf.freebase.com/ns/en.kenyon_college"	"Kenyon College"	"http://rdf.freebase.com/ns/business.business_operation.revenue"	"Revenue"	129373312
"http://rdf.freebase.com/ns/en.kenyon_college"	"Kenyon College"	"http://rdf.freebase.com/ns/organization.endowed_organization.endowment"	"Endowment"	158752274
"http://rdf.freebase.com/ns/m.01dwfb"	"William E. Simon Graduate School of Business Administration"	"http://rdf.freebase.com/ns/organization.endowed_organization.endowment"	"Endowment"	87000000
"http://rdf.freebase.com/ns/en.meriden"	"Meriden"	"http://rdf.freebase.com/ns/location.statistical_region.rent50_1"	"50th percentile rent - 1 br"	968
"http://rdf.freebase.com/ns/en.meriden"	"Meriden"	"http://rdf.freebase.com/ns/location.statistical_region.rent50_3"	"50th percentile rent - 3 br"	1399
"http://rdf.freebase.com/ns/en.meriden"	"Meriden"	"http://rdf.freebase.com/ns/location.statistical_region.rent50_0"	"50th percentile rent - 0 br"	853
"http://rdf.freebase.com/ns/en.comcast"	"Comcast"	"http://rdf.freebase.com/ns/business.business_operation.current_assets"	"Current Assets"	3716000000
"http://rdf.freebase.com/ns/en.comcast"	"Comcast"	"http://rdf.freebase.com/ns/business.business_operation.revenue"	"Revenue"	34256000000
"http://rdf.freebase.com/ns/en.comcast"	"Comcast"	"http://rdf.freebase.com/ns/business.business_operation.assets"	"Total Assets"	113017000000
"http://rdf.freebase.com/ns/en.comcast"	"Comcast"	"http://rdf.freebase.com/ns/business.business_operation.net_profit"	"Net profit"	2533000000
"http://rdf.freebase.com/ns/en.meriden"	"Meriden"	"http://rdf.freebase.com/ns/location.statistical_region.rent50_4"	"50th percentile rent - 4 br"	1599
"http://rdf.freebase.com/ns/en.meriden"	"Meriden"	"http://rdf.freebase.com/ns/location.statistical_region.rent50_2"	"50th percentile rent - 2 br"	1169
"http://rdf.freebase.com/ns/en.comcast"	"Comcast"	"http://rdf.freebase.com/ns/business.business_operation.current_liabilities"	"Current Liabilities"	8939000000
"http://rdf.freebase.com/ns/en.comcast"	"Comcast"	"http://rdf.freebase.com/ns/business.business_operation.operating_income"	"Operating Income"	6732000000
"http://rdf.freebase.com/ns/en.comcast"	"Comcast"	"http://rdf.freebase.com/ns/business.business_operation.net_profit"	"Net profit"	2587000000
"http://rdf.freebase.com/ns/en.comcast"	"Comcast"	"http://rdf.freebase.com/ns/business.business_operation.revenue"	"Revenue"	30895000000
"http://rdf.freebase.com/ns/en.comcast"	"Comcast"	"http://rdf.freebase.com/ns/business.business_operation.revenue"	"Revenue"	21075000000
"http://rdf.freebase.com/ns/en.comcast"	"Comcast"	"http://rdf.freebase.com/ns/business.business_operation.retained_earnings"	"Retained Earnings"	7427000000
"http://rdf.freebase.com/ns/en.comcast"	"Comcast"	"http://rdf.freebase.com/ns/business.business_operation.cash"	"Cash"	1195000000
"http://rdf.freebase.com/ns/en.comcast"	"Comcast"	"http://rdf.freebase.com/ns/business.business_operation.net_profit"	"Net profit"	2533000000
"http://rdf.freebase.com/ns/en.comcast"	"Comcast"	"http://rdf.freebase.com/ns/business.business_operation.liabilities"	"Total Liabilities"	72567000000
"http://rdf.freebase.com/ns/en.comcast"	"Comcast"	"http://rdf.freebase.com/ns/business.business_operation.net_profit"	"Net profit"	2547000000
"http://rdf.freebase.com/ns/en.comcast"	"Comcast"	"http://rdf.freebase.com/ns/business.business_operation.operating_income"	"Operating Income"	4619000000
"http://rdf.freebase.com/ns/en.comcast"	"Comcast"	"http://rdf.freebase.com/ns/business.business_operation.revenue"	"Revenue"	24960000000
"http://rdf.freebase.com/ns/en.comcast"	"Comcast"	"http://rdf.freebase.com/ns/business.business_operation.revenue"	"Revenue"	25700000000
"http://rdf.freebase.com/ns/en.comcast"	"Comcast"	"http://rdf.freebase.com/ns/business.business_operation.operating_income"	"Operating Income"	5578000000
"http://rdf.freebase.com/ns/en.dr_dre"	"Dr. Dre"	"http://rdf.freebase.com/ns/base.schemastaging.person_extra.net_worth"	"Net worth"	260000000
"http://rdf.freebase.com/ns/en.cumberland_christian_academy"	"Cumberland Christian Academy"	"http://rdf.freebase.com/ns/business.business_operation.assets"	"Total Assets"	740068
"http://rdf.freebase.com/ns/en.concurrent_computer_corporation"	"Concurrent Computer Corporation"	"http://rdf.freebase.com/ns/business.business_operation.revenue"	"Revenue"	71640000
"http://rdf.freebase.com/ns/en.concurrent_computer_corporation"	"Concurrent Computer Corporation"	"http://rdf.freebase.com/ns/business.business_operation.revenue"	"Revenue"	69100000
"http://rdf.freebase.com/ns/en.tns_inc"	"TNS Inc"	"http://rdf.freebase.com/ns/business.business_operation.operating_income"	"Operating Income"	46000000
"http://rdf.freebase.com/ns/en.tns_inc"	"TNS Inc"	"http://rdf.freebase.com/ns/business.business_operation.net_profit"	"Net profit"	3480000
"http://rdf.freebase.com/ns/en.tns_inc"	"TNS Inc"	"http://rdf.freebase.com/ns/business.business_operation.current_assets"	"Current Assets"	120470000
"http://rdf.freebase.com/ns/en.pocahontas_1995"	"Pocahontas"	"http://rdf.freebase.com/ns/film.film.estimated_budget"	"Estimated budget"	55000000
"http://rdf.freebase.com/ns/en.cumberland_christian_academy"	"Cumberland Christian Academy"	"http://rdf.freebase.com/ns/business.business_operation.revenue"	"Revenue"	1844766
"http://rdf.freebase.com/ns/en.don_daredevil_rides_again"	"Don Daredevil Rides Again"	"http://rdf.freebase.com/ns/film.film.estimated_budget"	"Estimated budget"	153080
"http://rdf.freebase.com/ns/en.tosco_corporation"	"Tosco Corporation"	"http://rdf.freebase.com/ns/business.business_operation.net_profit"	"Net profit"	79600000
"http://rdf.freebase.com/ns/en.concurrent_computer_corporation"	"Concurrent Computer Corporation"	"http://rdf.freebase.com/ns/business.business_operation.current_liabilities"	"Current Liabilities"	18450000
"http://rdf.freebase.com/ns/en.concurrent_computer_corporation"	"Concurrent Computer Corporation"	"http://rdf.freebase.com/ns/business.business_operation.current_assets"	"Current Assets"	48160000
"http://rdf.freebase.com/ns/en.concurrent_computer_corporation"	"Concurrent Computer Corporation"	"http://rdf.freebase.com/ns/business.business_operation.cash"	"Cash"	29110000
"http://rdf.freebase.com/ns/en.tns_inc"	"TNS Inc"	"http://rdf.freebase.com/ns/business.business_operation.assets"	"Total Assets"	361910000
"http://rdf.freebase.com/ns/en.tns_inc"	"TNS Inc"	"http://rdf.freebase.com/ns/business.business_operation.operating_income"	"Operating Income"	23300000
"http://rdf.freebase.com/ns/en.tns_inc"	"TNS Inc"	"http://rdf.freebase.com/ns/business.business_operation.revenue"	"Revenue"	286200000
"http://rdf.freebase.com/ns/en.tns_inc"	"TNS Inc"	"http://rdf.freebase.com/ns/business.business_operation.cash"	"Cash"	38850000
"http://rdf.freebase.com/ns/en.tns_inc"	"TNS Inc"	"http://rdf.freebase.com/ns/business.business_operation.liabilities"	"Total Liabilities"	259100000
"http://rdf.freebase.com/ns/en.cumberland_christian_academy"	"Cumberland Christian Academy"	"http://rdf.freebase.com/ns/business.business_operation.operating_income"	"Operating Income"	1893607
"http://rdf.freebase.com/ns/en.desperadoes_of_the_west"	"Desperadoes of the West"	"http://rdf.freebase.com/ns/film.film.estimated_budget"	"Estimated budget"	153081
"http://rdf.freebase.com/ns/en.tosco_corporation"	"Tosco Corporation"	"http://rdf.freebase.com/ns/business.business_operation.revenue"	"Revenue"	14362100000
"http://rdf.freebase.com/ns/en.tosco_corporation"	"Tosco Corporation"	"http://rdf.freebase.com/ns/business.business_operation.revenue"	"Revenue"	1922200000
"http://rdf.freebase.com/ns/en.tosco_corporation"	"Tosco Corporation"	"http://rdf.freebase.com/ns/business.business_operation.net_profit"	"Net profit"	441700000
"http://rdf.freebase.com/ns/en.concurrent_computer_corporation"	"Concurrent Computer Corporation"	"http://rdf.freebase.com/ns/business.business_operation.assets"	"Total Assets"	57130000
"http://rdf.freebase.com/ns/en.concurrent_computer_corporation"	"Concurrent Computer Corporation"	"http://rdf.freebase.com/ns/business.business_operation.liabilities"	"Total Liabilities"	23610000
"http://rdf.freebase.com/ns/en.tns_inc"	"TNS Inc"	"http://rdf.freebase.com/ns/business.business_operation.current_liabilities"	"Current Liabilities"	75780000
"http://rdf.freebase.com/ns/en.tns_inc"	"TNS Inc"	"http://rdf.freebase.com/ns/business.business_operation.revenue"	"Revenue"	343990000
"http://rdf.freebase.com/ns/en.pharmacopeia"	"Pharmacopeia"	"http://rdf.freebase.com/ns/business.business_operation.revenue"	"Revenue"	16900000
"http://rdf.freebase.com/ns/en.ligand_pharmaceuticals"	"Ligand"	"http://rdf.freebase.com/ns/business.business_operation.current_liabilities"	"Current Liabilities"	70610000
"http://rdf.freebase.com/ns/en.belarusian_state_university"	"Belarusian State University"	"http://rdf.freebase.com/ns/education.university.international_tuition"	"International tuition"	3000
"http://rdf.freebase.com/ns/en.ligand_pharmaceuticals"	"Ligand"	"http://rdf.freebase.com/ns/business.business_operation.revenue"	"Revenue"	27320000
"http://rdf.freebase.com/ns/en.ligand_pharmaceuticals"	"Ligand"	"http://rdf.freebase.com/ns/business.business_operation.current_assets"	"Current Assets"	93930000
"http://rdf.freebase.com/ns/en.ligand_pharmaceuticals"	"Ligand"	"http://rdf.freebase.com/ns/business.business_operation.revenue"	"Revenue"	141000000
"http://rdf.freebase.com/ns/en.ligand_pharmaceuticals"	"Ligand"	"http://rdf.freebase.com/ns/business.business_operation.assets"	"Total Assets"	171450000
"http://rdf.freebase.com/ns/en.ligand_pharmaceuticals"	"Ligand"	"http://rdf.freebase.com/ns/business.business_operation.cash"	"Cash"	28750000
"http://rdf.freebase.com/ns/en.goodrich_corporation"	"Goodrich Corporation"	"http://rdf.freebase.com/ns/business.business_operation.liabilities"	"Total Liabilities"	5391600000
"http://rdf.freebase.com/ns/en.goodrich_corporation"	"Goodrich Corporation"	"http://rdf.freebase.com/ns/business.business_operation.retained_earnings"	"Retained Earnings"	1619200000
"http://rdf.freebase.com/ns/en.goodrich_corporation"	"Goodrich Corporation"	"http://rdf.freebase.com/ns/business.business_operation.revenue"	"Revenue"	5878300000
"http://rdf.freebase.com/ns/en.goodrich_corporation"	"Goodrich Corporation"	"http://rdf.freebase.com/ns/business.business_operation.revenue"	"Revenue"	771600000
"http://rdf.freebase.com/ns/en.moravian_college"	"Moravian College"	"http://rdf.freebase.com/ns/education.university.domestic_tuition"	"Domestic tuition"	32177
"http://rdf.freebase.com/ns/en.moravian_college"	"Moravian College"	"http://rdf.freebase.com/ns/business.business_operation.operating_income"	"Operating Income"	81132032
"http://rdf.freebase.com/ns/en.moravian_college"	"Moravian College"	"http://rdf.freebase.com/ns/business.business_operation.assets"	"Total Assets"	200978191
"http://rdf.freebase.com/ns/en.moravian_college"	"Moravian College"	"http://rdf.freebase.com/ns/education.university.domestic_tuition"	"Domestic tuition"	30062
"http://rdf.freebase.com/ns/en.indiana_university_school_of_dentistry"	"Indiana University School of Dentistry"	"http://rdf.freebase.com/ns/education.university.domestic_tuition"	"Domestic tuition"	7496
"http://rdf.freebase.com/ns/en.the_cushman_school"	"The Cushman School"	"http://rdf.freebase.com/ns/business.business_operation.revenue"	"Revenue"	8245175
"http://rdf.freebase.com/ns/en.glenn_pakulak"	"Glenn Pakulak"	"http://rdf.freebase.com/ns/base.schemastaging.person_extra.net_worth"	"Net worth"	5500000
"http://rdf.freebase.com/ns/en.im_rick_james"	"I'm Rick James"	"http://rdf.freebase.com/ns/film.film.estimated_budget"	"Estimated budget"	1200000
"http://rdf.freebase.com/ns/en.goodrich_corporation"	"Goodrich Corporation"	"http://rdf.freebase.com/ns/business.business_operation.net_profit"	"Net profit"	172400000
"http://rdf.freebase.com/ns/en.goodrich_corporation"	"Goodrich Corporation"	"http://rdf.freebase.com/ns/business.business_operation.net_profit"	"Net profit"	38800000
"http://rdf.freebase.com/ns/en.goodrich_corporation"	"Goodrich Corporation"	"http://rdf.freebase.com/ns/business.business_operation.assets"	"Total Assets"	7482900000
"http://rdf.freebase.com/ns/en.goodrich_corporation"	"Goodrich Corporation"	"http://rdf.freebase.com/ns/business.business_operation.revenue"	"Revenue"	2520700000
"http://rdf.freebase.com/ns/en.goodrich_corporation"	"Goodrich Corporation"	"http://rdf.freebase.com/ns/business.business_operation.operating_income"	"Operating Income"	1100900000
"http://rdf.freebase.com/ns/en.goodrich_corporation"	"Goodrich Corporation"	"http://rdf.freebase.com/ns/business.business_operation.current_liabilities"	"Current Liabilities"	1841300000
"http://rdf.freebase.com/ns/en.goodrich_corporation"	"Goodrich Corporation"	"http://rdf.freebase.com/ns/business.business_operation.revenue"	"Revenue"	1229100000
"http://rdf.freebase.com/ns/en.goodrich_corporation"	"Goodrich Corporation"	"http://rdf.freebase.com/ns/business.business_operation.revenue"	"Revenue"	2988100000
"http://rdf.freebase.com/ns/m.02p_18t"	"David Einhorn"	"http://rdf.freebase.com/ns/base.schemastaging.person_extra.net_worth"	"Net worth"	1200000000
"http://rdf.freebase.com/ns/en.moravian_college"	"Moravian College"	"http://rdf.freebase.com/ns/education.university.domestic_tuition"	"Domestic tuition"	31250
"http://rdf.freebase.com/ns/en.moravian_college"	"Moravian College"	"http://rdf.freebase.com/ns/organization.endowed_organization.endowment"	"Endowment"	74065440
"http://rdf.freebase.com/ns/en.the_cushman_school"	"The Cushman School"	"http://rdf.freebase.com/ns/business.business_operation.assets"	"Total Assets"	10938381
"http://rdf.freebase.com/ns/en.once_upon_a_time_in_mexico"	"Once Upon a Time in Mexico"	"http://rdf.freebase.com/ns/film.film.estimated_budget"	"Estimated budget"	29000000
"http://rdf.freebase.com/ns/en.university_of_arkansas_school_of_law"	"University of Arkansas School of Law"	"http://rdf.freebase.com/ns/organization.endowed_organization.endowment"	"Endowment"	84200000
"http://rdf.freebase.com/ns/en.university_of_arkansas_school_of_law"	"University of Arkansas School of Law"	"http://rdf.freebase.com/ns/education.university.local_tuition"	"Local tuition"	9279
"http://rdf.freebase.com/ns/en.museum_of_arts_and_sciences"	"Museum of Arts and Sciences"	"http://rdf.freebase.com/ns/business.business_operation.revenue"	"Revenue"	8355515
"http://rdf.freebase.com/ns/en.museum_of_arts_and_sciences"	"Museum of Arts and Sciences"	"http://rdf.freebase.com/ns/business.business_operation.assets"	"Total Assets"	66093351
